Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,model_name,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,expid
111.45566,100.84838,99.92552,0.5171324609375,0.599275390625,0.6054202880859375,dbm,PF00240,3000,False,True,69,1000,1000,0.0100,NONE,0.0100,0.0000,0.0000,exp401
110.34176,101.94602,100.83990,0.52280984375,0.5876666870117188,0.5945652465820312,dbm,PF00240,1000,False,True,69,1000,1000,0.1000,NONE,0.0100,0.0000,0.0000,exp374
112.95602,103.47793,102.44044,0.5088728125,0.584884033203125,0.5929130249023438,dbm,PF00240,1000,False,True,69,500,500,0.0100,NONE,0.0100,0.5000,0.9000,exp68
116.69297,103.85892,102.98738,0.510885234375,0.5686231689453125,0.5733912963867187,dbm,PF00240,7000,True,False,69,1000,1000,0.5000,NONE,0.0100,0.0000,0.0000,exp344
111.21792,104.49333,103.33088,0.519530234375,0.5711738891601562,0.5787825927734375,dbm,PF00240,1000,False,True,69,1000,1000,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp212
111.06636,104.61529,103.45020,0.5201706640625,0.5703912963867187,0.5783768310546875,dbm,PF00240,1000,False,True,69,1000,1000,0.1000,NONE,0.0100,0.5000,0.9000,exp50
132.28112,105.17163,104.32817,0.506144140625,0.5675072631835938,0.57104345703125,dbm,PF00240,1000,True,False,69,500,500,0.5000,NONE,0.0100,0.5000,0.9000,exp11
113.56685,107.60365,106.47267,0.5079945703125,0.5543623046875,0.563159423828125,dbm,PF00240,1000,False,True,69,500,500,0.1000,NONE,0.0100,0.5000,0.9000,exp41
114.99417,108.41896,108.03510,0.501295859375,0.5465072631835938,0.5507825927734376,dbm,PF00240,62000,False,True,69,1000,1000,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp185
115.77272,109.54670,108.90252,0.4982896484375,0.5373768310546875,0.5436087036132813,dbm,PF00240,44000,False,True,69,1000,1000,0.5000,NONE,0.0100,0.0000,0.0000,exp347
116.42452,113.37282,112.95077,0.49432109375,0.5236521606445312,0.5285941772460937,rbm1,PF00240,76000,False,True,69,100,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp194
116.63386,113.59964,113.15086,0.4927362890625,0.523115966796875,0.5267536010742188,rbm1,PF00240,76000,False,True,69,100,None,0.0100,NONE,0.0100,0.5000,0.9000,exp59
116.90744,113.70128,113.29192,0.492388046875,0.521797119140625,0.5260579833984375,rbm1,PF00240,76000,False,True,69,100,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp167
123.93974,119.00347,118.03716,0.4562083203125,0.4943043518066406,0.5021739196777344,dbm,PF00240,1000,False,True,69,100,100,0.0100,NONE,0.0100,0.5000,0.9000,exp59
123.67587,119.82462,118.86505,0.459206171875,0.4901304321289062,0.49765216064453127,dbm,PF00240,1000,False,True,69,100,100,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp194
124.56657,121.02678,120.36717,0.45575703125,0.48134783935546877,0.48737680053710936,dbm,PF00240,180000,False,True,69,100,100,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp167
4.01352,15.36455,15.13349,0.9855440625,0.9391448974609375,0.94068115234375,rbm1,PF00240,44000,False,False,69,1000,None,0.0100,NONE,0.0010,0.5000,0.9000,exp161
4.06748,15.46042,15.09134,0.985325234375,0.9392318725585938,0.9408985595703125,rbm1,PF00240,99000,False,False,69,1000,None,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp323
3.66953,15.51618,15.35429,0.98724140625,0.939,0.9397536010742188,rbm1,PF00240,44000,False,False,69,1000,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp296
3.79295,16.14940,15.97944,0.9861428125,0.9362463989257812,0.9370724487304688,rbm1,PF00240,44000,False,False,69,1000,None,0.1000,NONE,0.0010,0.5000,0.9000,exp134
5.52210,16.22500,16.02092,0.974834296875,0.9357391357421875,0.9364637451171876,dbm,PF00240,198000,False,False,69,1000,1000,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp269
3.66891,16.36329,15.94283,0.987021171875,0.9357391357421875,0.9378115844726562,rbm1,PF00240,90000,False,False,69,1000,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp269
5.83306,16.56837,16.47990,0.97348515625,0.9369420166015625,0.9370289916992187,dbm,PF00240,198000,False,False,69,1000,1000,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp323
5.13894,18.12159,18.11429,0.9834875,0.9290579833984375,0.9304202880859375,rbm1,PF00240,92000,False,False,69,500,None,0.0100,NONE,0.0010,0.5000,0.9000,exp152
5.08471,18.55508,18.53413,0.983273515625,0.9283043212890625,0.9277825927734376,rbm1,PF00240,30000,False,False,69,500,None,0.1000,NONE,0.0010,0.5000,0.9000,exp125
4.17104,18.79997,18.66638,0.98644765625,0.926115966796875,0.9272318725585937,rbm1,PF00240,37000,True,False,69,1000,None,0.0100,NONE,0.0010,0.5000,0.9000,exp155
5.54579,18.86804,18.47662,0.97768671875,0.9256376953125,0.9271884155273438,rbm1,PF00240,5000,False,False,69,1000,None,0.5000,NONE,0.0010,0.5000,0.9000,exp107
4.21936,19.17240,18.86717,0.98614515625,0.9238261108398438,0.925202880859375,rbm1,PF00240,9000,True,False,69,1000,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp290
4.17224,19.31688,19.03643,0.986327109375,0.9231884155273438,0.9246666870117187,rbm1,PF00240,9000,True,False,69,1000,None,0.1000,NONE,0.0010,0.5000,0.9000,exp128
4.63714,19.55341,19.23428,0.979069765625,0.9251738891601563,0.926478271484375,dbm,PF00240,112000,False,False,69,1000,1000,0.1000,NONE,0.0010,0.5000,0.9000,exp134
7.78011,19.69609,19.55246,0.96488234375,0.9257825927734376,0.9253623046875,dbm,PF00240,3000,False,False,69,1000,1000,0.5000,NONE,0.0010,0.5000,0.9000,exp107
5.06756,19.76201,19.48183,0.98147953125,0.9220144653320312,0.9224202880859375,rbm1,PF00240,2000,True,False,69,1000,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp263
5.05671,19.82809,19.50380,0.98151578125,0.9217391357421875,0.9229710083007813,rbm1,PF00240,2000,True,False,69,1000,None,0.5000,NONE,0.0010,0.5000,0.9000,exp101
9.36303,20.56911,20.32281,0.957606171875,0.921115966796875,0.9214347534179688,dbm,PF00240,2000,False,False,69,500,500,0.5000,NONE,0.0010,0.5000,0.9000,exp98
6.51005,20.64424,19.95392,0.9749596875,0.9182608642578125,0.9202463989257812,rbm1,PF00240,5000,False,False,69,500,None,0.5000,NONE,0.0010,0.5000,0.9000,exp98
5.68908,21.93132,21.57406,0.981731796875,0.913521728515625,0.9147391357421875,rbm1,PF00240,12000,True,False,69,500,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp281
10.22422,25.26498,25.11243,0.956098359375,0.8990579833984375,0.8995652465820313,dbm,PF00240,1000,False,False,69,1000,1000,0.0100,NONE,0.0010,0.5000,0.9000,exp161
2.48331,25.34751,25.54277,0.990798203125,0.9008115844726563,0.8993768310546875,dbm,PF00240,44000,False,False,69,1000,1000,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp296
24.80389,29.97999,29.44747,0.8864975,0.8843623046875,0.886884033203125,rbm1,PF00240,99000,False,True,69,1000,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp293
24.98493,30.10383,29.57210,0.88548078125,0.8824202880859375,0.8860724487304688,rbm1,PF00240,99000,False,True,69,1000,None,0.1000,NONE,0.0010,0.5000,0.9000,exp131
26.21469,30.25677,29.80507,0.879386484375,0.8831738891601563,0.8835652465820313,rbm1,PF00240,99000,False,True,69,1000,None,0.0100,NONE,0.0010,0.5000,0.9000,exp158
24.76183,30.38454,30.10976,0.886690859375,0.8821738891601563,0.8827825927734375,rbm1,PF00240,79000,False,True,69,1000,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp266
9.20751,30.47365,29.63676,0.96486109375,0.8962608642578125,0.8986666870117187,dbm,PF00240,2000,True,False,69,1000,1000,0.5000,NONE,0.0010,0.5000,0.9000,exp101
4.33720,30.58967,30.52402,0.982659921875,0.8814058227539062,0.8826521606445312,dbm,PF00240,200000,False,False,69,500,500,0.1000,NONE,0.0010,0.5000,0.9000,exp125
29.14081,31.23301,30.72697,0.8655396875,0.8794347534179687,0.8803623046875,rbm1,PF00240,99000,False,True,69,1000,None,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp320
11.99722,31.24019,31.03642,0.948818046875,0.875840576171875,0.8754058227539062,dbm,PF00240,1000,False,False,69,500,500,0.0100,NONE,0.0010,0.5000,0.9000,exp152
6.85586,32.44682,32.22436,0.970796171875,0.8775652465820313,0.8781884155273437,dbm,PF00240,1000,True,False,69,1000,1000,0.0100,NONE,0.0010,0.5000,0.9000,exp155
29.99623,32.46059,31.85373,0.86123203125,0.8726521606445312,0.8730869750976562,rbm1,PF00240,6000,False,True,69,1000,None,0.5000,NONE,0.0010,0.5000,0.9000,exp104
7.81922,36.71275,36.44537,0.9669540625,0.8624492797851563,0.8644492797851563,dbm,PF00240,1000,True,False,69,500,500,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp281
3.44915,36.95419,36.38193,0.989447265625,0.8595507202148438,0.8622318725585938,dbm,PF00240,65000,True,False,69,1000,1000,0.1000,NONE,0.0010,0.5000,0.9000,exp128
40.59413,37.96265,37.27404,0.81556265625,0.8544347534179687,0.8582608642578125,rbm1,PF00240,99000,False,True,69,1000,None,0.0100,NONE,0.0010,0.0000,0.0000,exp482
48.08954,38.34245,37.66631,0.788436484375,0.8450289916992187,0.8483623046875,dbm,PF00240,4000,False,True,69,1000,1000,0.1000,NONE,0.0010,0.5000,0.9000,exp131
3.47616,38.51672,38.14725,0.986820390625,0.8652174072265625,0.8653478393554688,dbm,PF00240,1000,True,False,69,1000,1000,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp290
2.98373,38.66307,37.66745,0.990811796875,0.8528261108398437,0.8562318725585938,dbm,PF00240,49000,True,False,69,1000,1000,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp263
48.50934,38.70437,38.26054,0.78712046875,0.8428551025390625,0.845478271484375,dbm,PF00240,7000,False,True,69,1000,1000,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp293
51.87436,39.23981,38.79291,0.7712075,0.842797119140625,0.8444202880859375,dbm,PF00240,1000,False,True,69,1000,1000,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp266
49.28399,39.24453,39.04384,0.784229765625,0.8415072631835937,0.8417681274414063,dbm,PF00240,30000,False,True,69,1000,1000,0.0100,NONE,0.0010,0.5000,0.9000,exp158
52.74457,40.75329,40.61629,0.77068671875,0.8351014404296875,0.8344202880859375,dbm,PF00240,162000,False,True,69,1000,1000,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp320
38.01318,40.94479,40.16510,0.84020546875,0.8556087036132812,0.8581304321289063,rbm1,PF00240,99000,False,False,69,1000,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,exp242
38.16992,40.96211,40.53505,0.839140703125,0.8549420166015625,0.85531884765625,rbm1,PF00240,56000,False,False,69,1000,None,0.0100,NONE,0.0100,0.5000,0.9000,exp80
54.45255,41.25455,40.81336,0.76136078125,0.8323043212890625,0.8343043212890625,dbm,PF00240,1000,False,True,69,1000,1000,0.5000,NONE,0.0010,0.5000,0.9000,exp104
38.77514,41.25673,40.83731,0.83628671875,0.8530869750976563,0.8534347534179687,rbm1,PF00240,37000,False,False,69,1000,None,0.1000,NONE,0.0100,0.0000,0.0000,exp377
37.93799,41.41474,40.58317,0.839962265625,0.8526376953125,0.854797119140625,rbm1,PF00240,99000,False,False,69,1000,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp215
55.31319,43.25471,42.83502,0.760961875,0.8243333129882813,0.827159423828125,dbm,PF00240,200000,False,True,69,1000,1000,0.0100,NONE,0.0010,0.0000,0.0000,exp482
39.49970,43.42034,42.75805,0.83553703125,0.8464058227539063,0.8490724487304687,rbm1,PF00240,44000,True,False,69,1000,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,exp236
39.10484,43.42991,42.75402,0.837253515625,0.8465362548828125,0.8503333129882813,rbm1,PF00240,44000,True,False,69,1000,None,0.0100,NONE,0.0100,0.5000,0.9000,exp74
39.32345,43.58645,42.91714,0.8362675,0.8453768310546875,0.8481304321289063,rbm1,PF00240,44000,True,False,69,1000,None,0.1000,NONE,0.0100,0.0000,0.0000,exp371
38.69276,43.87270,43.04414,0.839278359375,0.8456376953125,0.8475072631835937,rbm1,PF00240,99000,True,False,69,1000,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp209
42.46115,44.68764,43.41746,0.8189003125,0.8342608642578125,0.839,rbm1,PF00240,4000,False,False,69,1000,None,0.1000,NONE,0.0100,0.5000,0.9000,exp53
42.62247,45.71983,44.55224,0.820761640625,0.8352463989257812,0.838275390625,rbm1,PF00240,4000,True,False,69,1000,None,0.1000,NONE,0.0100,0.5000,0.9000,exp47
42.64128,45.74220,45.33715,0.82409046875,0.8393623046875,0.8417681274414063,rbm1,PF00240,92000,False,False,69,500,None,0.0100,NONE,0.0100,0.5000,0.9000,exp71
41.60810,46.33979,45.42914,0.8254265625,0.8313043212890625,0.8352463989257812,rbm1,PF00240,99000,True,False,69,1000,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp182
43.23962,47.30331,46.80417,0.8224790625,0.8336956787109375,0.83595654296875,rbm1,PF00240,92000,True,False,69,500,None,0.0100,NONE,0.0100,0.5000,0.9000,exp65
43.15895,47.42094,46.93780,0.8229196875,0.8334492797851563,0.8356521606445313,rbm1,PF00240,92000,True,False,69,500,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp200
46.20280,48.38114,47.41952,0.806521953125,0.8245797119140625,0.8288261108398437,rbm1,PF00240,6000,False,False,69,500,None,0.1000,NONE,0.0100,0.5000,0.9000,exp44
50.82495,48.74626,48.43128,0.765023359375,0.8068261108398438,0.8076956787109375,rbm1,PF00240,92000,False,True,69,500,None,0.5000,NONE,0.0010,0.5000,0.9000,exp95
46.12962,49.34840,48.46079,0.808013515625,0.8215652465820312,0.8247101440429687,rbm1,PF00240,99000,False,False,69,1000,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp188
46.91808,49.69385,48.89666,0.8049225,0.8206231689453125,0.8246521606445313,rbm1,PF00240,91000,False,False,69,500,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp179
46.35457,49.75165,48.33747,0.80882828125,0.8152318725585938,0.8206376953125,rbm1,PF00240,64000,True,False,69,1000,None,0.5000,NONE,0.0100,0.0000,0.0000,exp344
50.22812,52.65522,51.81529,0.792716640625,0.8040724487304688,0.8056956787109375,rbm1,PF00240,87000,False,False,69,1000,None,0.5000,NONE,0.0100,0.0000,0.0000,exp350
67.67656,54.22174,53.52868,0.699122265625,0.7802898559570313,0.7841304321289062,dbm,PF00240,1000,False,True,69,500,500,0.5000,NONE,0.0010,0.5000,0.9000,exp95
52.37976,54.25848,53.41339,0.780275234375,0.7954202880859375,0.7987391357421875,rbm1,PF00240,2000,True,False,69,500,None,0.5000,NONE,0.0100,0.5000,0.9000,exp11
67.34040,54.95611,53.99469,0.712124140625,0.7913768310546875,0.7941738891601563,dbm,PF00240,2000,False,False,69,1000,1000,0.0100,NONE,0.0100,0.5000,0.9000,exp80
68.82046,55.27720,54.53148,0.708050546875,0.7884637451171875,0.790521728515625,dbm,PF00240,3000,False,False,69,1000,1000,0.0100,INVERSE_T,0.0100,0.5000,0.9000,exp242
58.61371,55.35876,54.56576,0.746710859375,0.7886666870117187,0.791115966796875,dbm,PF00240,3000,True,False,69,1000,1000,0.0100,INVERSE_T,0.0100,0.5000,0.9000,exp236
57.33284,55.63889,54.80607,0.750815390625,0.7898115844726562,0.7923768310546875,dbm,PF00240,1000,True,False,69,1000,1000,0.0100,NONE,0.0100,0.5000,0.9000,exp74
58.08369,57.10702,56.27730,0.755972265625,0.7849420166015625,0.7870289916992188,rbm1,PF00240,2000,False,False,69,500,None,0.5000,NONE,0.0100,0.5000,0.9000,exp17
59.98607,57.98064,57.19021,0.7406146875,0.7759420166015625,0.7785652465820313,dbm,PF00240,1000,True,False,69,1000,1000,0.1000,NONE,0.0100,0.0000,0.0000,exp371
70.11969,58.33091,57.60195,0.702962109375,0.775,0.7777825927734375,dbm,PF00240,3000,False,False,69,500,500,0.0100,NONE,0.0100,0.5000,0.9000,exp71
62.14274,58.39732,57.56567,0.7314634375,0.7800289916992188,0.7822463989257813,dbm,PF00240,1000,True,False,69,500,500,0.0100,NONE,0.0100,0.5000,0.9000,exp65
74.03143,58.91575,58.51761,0.693568984375,0.7675507202148437,0.768275390625,dbm,PF00240,162000,False,False,69,1000,1000,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp215
64.81719,61.40684,60.54655,0.722636328125,0.7624058227539062,0.7647825927734375,dbm,PF00240,1000,True,False,69,1000,1000,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp209
64.84040,61.65722,60.73831,0.7222675,0.7592608642578125,0.7620289916992188,dbm,PF00240,1000,True,False,69,1000,1000,0.1000,NONE,0.0100,0.5000,0.9000,exp47
75.45371,61.75301,60.94173,0.683003984375,0.758202880859375,0.760275390625,dbm,PF00240,1000,False,False,69,500,500,0.1000,NONE,0.0100,0.5000,0.9000,exp44
58.55526,61.92826,61.20203,0.739309140625,0.7440144653320313,0.7477101440429688,dbm,PF00240,200000,False,False,69,100,100,0.1000,NONE,0.0010,0.5000,0.9000,exp116
58.39923,62.14124,61.68196,0.73839984375,0.7425652465820313,0.746159423828125,dbm,PF00240,44000,True,False,69,100,100,0.0100,NONE,0.0010,0.5000,0.9000,exp137
59.76585,62.17170,61.63736,0.733499765625,0.7433478393554688,0.7457681274414063,dbm,PF00240,93000,True,False,69,100,100,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp299
65.81274,62.38458,61.56192,0.718389453125,0.759115966796875,0.7622174072265625,dbm,PF00240,1000,True,False,69,500,500,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp200
61.52681,62.93759,61.69826,0.7275125,0.738521728515625,0.7456231689453126,dbm,PF00240,7000,True,False,69,100,100,0.1000,NONE,0.0010,0.5000,0.9000,exp110
82.08991,63.21179,62.38294,0.66251765625,0.7468695678710937,0.7492898559570312,dbm,PF00240,1000,False,False,69,1000,1000,0.1000,NONE,0.0100,0.5000,0.9000,exp53
47.05466,63.42005,62.21620,0.785382421875,0.7411738891601563,0.7461448974609375,rbm1,PF00240,79000,False,False,69,100,None,0.0100,NONE,0.0010,0.5000,0.9000,exp143
58.07455,63.42073,62.29547,0.738581015625,0.7378695678710937,0.7426376953125,dbm,PF00240,7000,True,False,69,100,100,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp272
46.27729,63.78139,62.61120,0.787798671875,0.7396087036132812,0.744797119140625,rbm1,PF00240,79000,False,False,69,100,None,0.1000,NONE,0.0010,0.5000,0.9000,exp116
56.33803,64.21302,64.08962,0.74583421875,0.7361738891601562,0.736797119140625,dbm,PF00240,44000,True,False,69,100,100,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp245
87.26857,64.25495,63.65987,0.641292109375,0.7454492797851563,0.7484202880859375,dbm,PF00240,1000,False,False,69,1000,1000,0.1000,NONE,0.0100,0.0000,0.0000,exp377
62.94154,64.38384,63.44859,0.720040078125,0.7329420166015626,0.7364637451171875,dbm,PF00240,1000,True,False,69,100,100,0.5000,NONE,0.0010,0.5000,0.9000,exp83
50.13005,65.40576,64.00099,0.772100078125,0.7317536010742187,0.7359420166015626,rbm1,PF00240,79000,True,False,69,100,None,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp299
49.54648,65.51046,64.24164,0.77417,0.7313623046875,0.7348695678710937,rbm1,PF00240,44000,True,False,69,100,None,0.0100,NONE,0.0010,0.5000,0.9000,exp137
48.15147,65.99116,64.85566,0.779667578125,0.7302318725585938,0.7339710083007812,rbm1,PF00240,44000,True,False,69,100,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp272
57.73752,66.09280,65.36679,0.74442375,0.7309855346679688,0.7337536010742187,rbm1,PF00240,3000,True,False,69,100,None,0.1000,NONE,0.0010,0.5000,0.9000,exp110
48.17001,66.48479,65.60843,0.7799509375,0.7275362548828125,0.7295941772460938,rbm1,PF00240,79000,True,False,69,100,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp245
54.08753,67.01049,65.86776,0.754866484375,0.7247536010742187,0.7291884155273437,rbm1,PF00240,2000,True,False,69,100,None,0.5000,NONE,0.0010,0.5000,0.9000,exp83
51.76545,68.58159,67.55325,0.7621153125,0.7196376953125,0.723840576171875,dbm,PF00240,1000,False,False,69,100,100,0.0100,NONE,0.0010,0.5000,0.9000,exp143
75.53744,72.17057,71.29944,0.67820765625,0.7167391357421875,0.7196376953125,dbm,PF00240,200000,True,False,69,1000,1000,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp182
86.36197,75.25500,74.23247,0.6383742578125,0.7021884155273438,0.7056666870117188,dbm,PF00240,143000,False,False,69,1000,1000,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp188
86.80370,75.87452,74.77362,0.63622203125,0.6991448974609376,0.7039710083007813,dbm,PF00240,143000,False,False,69,500,500,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp179
87.52200,76.33882,74.96010,0.6345035546875,0.695840576171875,0.7021884155273438,dbm,PF00240,191000,False,False,69,1000,1000,0.5000,NONE,0.0100,0.0000,0.0000,exp350
75.53337,77.41152,76.18502,0.6901765625,0.7078261108398437,0.7123623046875,rbm1,PF00240,79000,False,False,69,100,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp197
75.89586,77.60991,76.48511,0.688694296875,0.7054347534179688,0.7110144653320313,rbm1,PF00240,79000,False,False,69,100,None,0.0100,NONE,0.0100,0.5000,0.9000,exp62
76.06795,77.90361,76.89128,0.6878978125,0.7030869750976563,0.7076087036132812,rbm1,PF00240,44000,True,False,69,100,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp191
76.08983,77.95936,76.79866,0.687396796875,0.7029130249023438,0.7080579833984375,rbm1,PF00240,79000,True,False,69,100,None,0.0100,NONE,0.0100,0.5000,0.9000,exp56
76.77639,78.23488,77.15916,0.68394109375,0.7009420166015625,0.7070144653320313,rbm1,PF00240,79000,False,False,69,100,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp170
76.62151,78.32741,77.14542,0.68471734375,0.7022608642578125,0.7067391357421875,rbm1,PF00240,79000,True,False,69,100,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,exp218
77.00921,78.50837,77.28945,0.682824609375,0.699202880859375,0.7042174072265625,rbm1,PF00240,79000,True,False,69,100,None,0.5000,NONE,0.0100,0.0000,0.0000,exp326
77.13249,78.51766,77.65754,0.68233453125,0.7010289916992187,0.7046231689453125,rbm1,PF00240,44000,True,False,69,100,None,0.1000,NONE,0.0100,0.5000,0.9000,exp29
77.01426,78.69882,77.50352,0.68315734375,0.6970144653320313,0.7042608642578125,rbm1,PF00240,79000,True,False,69,100,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp164
89.63722,80.42479,79.21434,0.62236515625,0.683275390625,0.6892174072265626,dbm,PF00240,4000,False,False,69,100,100,0.0100,NONE,0.0100,0.5000,0.9000,exp62
80.82950,80.57719,79.61369,0.6646609375,0.6876087036132813,0.6918695678710938,rbm1,PF00240,2000,False,False,69,100,None,0.5000,NONE,0.0100,0.5000,0.9000,exp8
89.95987,80.63162,79.57264,0.62085796875,0.682202880859375,0.6868551025390625,dbm,PF00240,1000,False,False,69,100,100,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp197
80.53884,80.67384,79.74277,0.666364609375,0.6892174072265626,0.6923912963867187,rbm1,PF00240,2000,True,False,69,100,None,0.5000,NONE,0.0100,0.5000,0.9000,exp2
88.81063,80.84009,79.62483,0.62479515625,0.6802463989257812,0.6855362548828124,dbm,PF00240,4000,True,False,69,100,100,0.0100,NONE,0.0100,0.5000,0.9000,exp56
86.01337,80.99062,80.35837,0.6356704296875,0.689521728515625,0.6929275512695312,rbm1,PF00240,56000,False,True,69,1000,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp212
86.00060,81.06680,80.51745,0.6355674609375,0.689275390625,0.6919130249023437,rbm1,PF00240,88000,False,True,69,1000,None,0.0100,NONE,0.0100,0.5000,0.9000,exp77
86.08778,81.11603,80.56805,0.635423125,0.6890579833984375,0.6915072631835938,rbm1,PF00240,88000,False,True,69,1000,None,0.1000,NONE,0.0100,0.0000,0.0000,exp374
89.10420,81.15391,80.04028,0.623423828125,0.6790144653320312,0.6848261108398438,dbm,PF00240,1000,True,False,69,100,100,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp191
89.66037,81.19670,80.03448,0.6214133984375,0.6782608642578125,0.6820289916992187,dbm,PF00240,7000,True,False,69,100,100,0.0100,INVERSE_T,0.0100,0.5000,0.9000,exp218
89.04063,81.32008,80.28763,0.6236904296875,0.6798551025390625,0.684202880859375,dbm,PF00240,1000,True,False,69,100,100,0.1000,NONE,0.0100,0.5000,0.9000,exp29
87.19163,81.44785,80.88415,0.63042375,0.685724609375,0.6883768310546875,rbm1,PF00240,56000,False,True,69,1000,None,0.1000,NONE,0.0100,0.5000,0.9000,exp50
86.59653,81.52439,80.97278,0.632725,0.68668115234375,0.6889855346679687,rbm1,PF00240,88000,False,True,69,1000,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,exp239
87.18556,81.65239,80.70866,0.6305490625,0.6874202880859375,0.6920289916992187,rbm1,PF00240,85000,False,True,69,1000,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp185
91.33900,81.69535,80.70317,0.615941015625,0.6740289916992187,0.6778261108398438,dbm,PF00240,143000,False,False,69,100,100,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp170
