expid,model_name,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp68,rbm,-170.32996373493785,-184.89009548319541,-183.4029836415483,-100.229,-117.272,-115.611,0.413061,0.461183,0.456015
exp134,dbm,-81.84789922437335,-185.8209553619397,-182.22820977191623,-15.7737,-358.782,-348.405,0.0319708,0.442198,0.432243
exp234,dbm,-118.87285853609797,-127.53041602108976,-127.91996757611344,-110.098,-127.701,-128.156,0.384703,0.435688,0.436404
exp347,rbm,-173.8623992722238,-191.41373748181047,-189.96118448846141,-98.2342,-119.056,-117.199,0.404336,0.46232,0.454786
exp71,rbm,-88.04394630396223,-110.60483662464725,-109.29189344753502,-59.3895,-96.3631,-94.8323,0.238052,0.396757,0.38863
exp140,dbm,,,,-93.6645,-105.111,-103.722,0.408011,0.449844,0.441779
exp323,dbm,-84.867621778879766,-178.21505607469589,-175.17418785655855,-30.6116,-360.208,-354.709,0.0575788,0.444499,0.437889
exp77,dbm,-261.95927295010404,-275.45565422439267,-274.21575042314828,-104.525,-113.067,-111.796,0.437361,0.477137,0.469211
exp132,rbm,,,,-44.922,-132.288,-133.473,0.182189,0.382285,0.386107
exp198,rbm,,,,-112.322,-121.392,-121.835,0.412419,0.44823,0.449999
exp138,dbm,,,,-100.513,-125.857,-127.267,0.363593,0.422838,0.42572
exp339,dbm,,,,-133.88,-136.13,-136.846,0.509187,0.517407,0.519825
exp282,dbm,-78.928729981566107,-150.60602083693209,-151.85721632085267,-35.1353,-292.956,-294.053,0.0879273,0.439529,0.442294
exp363,dbm,,,,-107.173,-124.707,-125.077,0.3773,0.428563,0.429445
exp6,dbm,-188.09908837407363,-191.04810681306509,-191.92044065725946,-139.823,-141.504,-142.034,0.530568,0.536393,0.539494
exp396,dbm,-131.48602363221653,-139.57650022561074,-139.98974587644148,-110.225,-126.421,-126.832,0.388214,0.43664,0.438463
exp29,dbm,-112.19615326264227,-122.61273437681365,-120.99385741714264,-90.3424,-106.168,-104.766,0.378321,0.436744,0.430393
exp312,rbm,,,,-75.0168,-120.735,-121.579,0.28422,0.393778,0.396096
exp120,rbm,,,,-28.6602,-121.614,-121.761,,,
exp59,dbm,-202.41362842321814,-208.2649801165183,-206.75798432899768,-119.674,-123.694,-122.657,0.517388,0.533661,0.526898
exp167,dbm,-186.54808180312213,-191.59366250860495,-190.52553367153948,-121.662,-125.303,-124.25,0.528174,0.541956,0.53503
exp131,dbm,-201.45941582445494,-296.97935841837909,-292.20477904094548,-37.0784,-115.887,-113.778,0.147078,0.358205,0.352094
exp123,rbm,-150.68958514387782,-188.49956276267261,-189.41130654107764,-72.1386,-126.52,-127.524,0.274807,0.397922,0.401081
exp167,rbm,-167.0667525543557,-173.71026695021172,-172.6553677848583,-112.453,-119.931,-118.336,0.483911,0.50929,0.500074
exp150,rbm,,,,-70.4663,-122.005,-122.916,0.270993,0.394497,0.395575
exp204,rbm,,,,-131.606,-139.454,-139.642,0.46876,0.488946,0.490054
exp86,rbm,,,,-90.2863,-109.504,-107.733,0.393568,0.44596,0.437673
exp393,rbm,-193.38361398590371,-199.3583429186674,-200.22637635771531,-129.552,-135.977,-136.321,0.463645,0.480457,0.482846
exp8,dbm,,,,-98.4441,-110.821,-109.597,0.415979,0.460088,0.454557
exp282,rbm,-90.573934730781843,-136.59121552350518,-136.96127614502825,-29.4798,-120.539,-120.797,0.0848265,0.416931,0.418963
exp83,dbm,,,,-68.8097,-120.792,-118.507,0.291979,0.417015,0.409457
exp144,dbm,,,,-101.355,-128.726,-129.717,0.363475,0.424765,0.427253
exp177,dbm,-222.61423833464653,-226.92571205672868,-228.04800423267005,-134.003,-136.331,-137.032,0.509266,0.51791,0.520496
exp63,dbm,-123.94289638958941,-128.82418430422575,-129.23655051005176,-117.304,-124.931,-125.312,0.43194,0.459133,0.460305
exp243,dbm,,,,-111.567,-130.782,-131.327,0.385529,0.439889,0.442423
exp147,rbm,,,,-32.2882,-121.228,-121.765,0.102542,0.419389,0.421108
exp345,dbm,-191.76400283250956,-193.55096544402693,-194.93008392424036,-143.078,-145.877,-146.554,0.53086,0.5392,0.541558
exp39,rbm,-113.71448819099243,-126.4283256410194,-126.87241644422573,-89.867,-112.104,-112.567,0.326076,0.413779,0.414132
exp444,dbm,-89.517551076944756,-158.56567456700191,-159.53788488574344,-48.6926,-298.751,-300.298,0.110993,0.432947,0.434019
exp33,dbm,-199.78091544955606,-202.89242879126317,-203.83894052950342,-138.933,-140.663,-141.238,0.526116,0.532148,0.53482
exp2,dbm,-121.56765646057474,-130.5011964790836,-129.20277322836037,-97.2732,-109.926,-108.683,0.412019,0.459032,0.453044
exp11,dbm,,,,-113.473,-120.213,-119.153,0.483112,0.507761,0.503289
exp107,rbm,-72.316285096783986,-136.18966200315299,-134.21811306405345,-17.6479,-117.096,-115.124,0.0698081,0.409708,0.404852
exp108,dbm,-126.72998168085655,-193.59987632294747,-194.84445474885536,-94.2195,-350.781,-355.712,0.154634,0.424583,0.428254
exp135,dbm,-109.46667683601936,-190.39867071391859,-191.30133901257727,-75.0077,-433.537,-436.556,0.113476,0.468973,0.470932
exp390,rbm,-114.49265670204687,-126.29113840804428,-126.65469432207959,-91.9531,-112.079,-112.48,0.332689,0.41192,0.412666
exp114,rbm,,,,-116.929,-125.891,-126.231,0.442523,0.464417,0.465454
exp197,dbm,,,,-90.8043,-106.883,-105.364,0.379814,0.439167,0.432
exp30,rbm,-127.13086654262236,-132.86481586135488,-133.31529802970903,-112.774,-121.737,-122.229,0.414082,0.449987,0.451532
exp164,rbm,,,,-85.1596,-104.018,-102.591,0.35183,0.430777,0.424815
exp371,dbm,-99.583595382052408,-121.69389146467563,-119.54125823507229,-71.9973,-108.826,-106.932,0.293715,0.404363,0.396964
exp191,rbm,,,,-84.6651,-103.621,-101.973,0.347537,0.428192,0.42137
exp21,dbm,nan,nan,nan,-214.512,-215.13,-214.455,0.647079,0.647685,0.647286
exp165,rbm,,,,-112.643,-121.657,-122.137,0.414264,0.450246,0.451958
exp264,rbm,,,,-21.2589,-111.873,-112.779,0.0440465,0.385922,0.388602
exp44,rbm,,,,-63.2341,-99.1868,-97.7653,0.263733,0.40757,0.40184
exp111,dbm,-80.049120161522978,-95.68377947975938,-96.362157064673909,-99.9941,-125.88,-126.676,0.364327,0.424664,0.426937
exp401,rbm,-162.64687844437697,-179.19733615737721,-177.26635710586129,-95.644,-115.071,-113.198,0.388242,0.441955,0.434999
exp281,rbm,,,,-12.303,-105.888,-103.516,0.0177077,0.39826,0.38894
exp269,dbm,-74.753814774895773,-169.04586115066945,-165.77609731273344,-7.68371,-328.87,-322.335,0.0168284,0.427056,0.419615
exp53,rbm,,,,-64.0195,-101.891,-100.019,0.277459,0.417597,0.410862
exp72,rbm,-113.34498120399326,-126.19314749990588,-126.60549374317804,-88.5124,-111.422,-111.869,0.317035,0.409243,0.410233
exp140,rbm,,,,-88.5569,-108.236,-106.741,0.387336,0.438856,0.43481
exp369,dbm,,,,-121.487,-137.22,-137.533,0.414499,0.45863,0.458912
exp95,dbm,-173.21953858571726,-238.33787132777013,-234.96469497145165,-49.5839,-96.5691,-94.9478,0.219939,0.371358,0.365128
exp482,rbm,-103.48394484061328,-171.56600879352311,-168.90831361921357,-36.6433,-121.818,-119.478,0.173019,0.374051,0.368113
exp102,dbm,nan,nan,nan,-894.547,-895.207,-897.693,0.677077,0.679227,0.681023
exp137,dbm,-94.46790054137773,-126.30040921175862,-124.07563482267784,-63.3598,-117.924,-115.913,0.273328,0.407597,0.399625
exp264,dbm,,,,-72.7091,-338.77,-343.637,0.121418,0.4141,0.417842
exp62,dbm,-111.19370317837019,-121.51105942338114,-119.90423453206671,-90.4146,-106.46,-105.017,0.377631,0.436569,0.430812
exp258,rbm,-179.53069813648824,-217.45520769119469,-218.67878990829956,-70.94,-125.778,-126.769,0.271911,0.400164,0.402762
exp33,rbm,-181.23709709388277,-184.52469372875203,-185.4704909046649,-136.59,-139.625,-140.3,0.512965,0.522241,0.525108
exp471,rbm,,,,-50.9655,-123.267,-123.708,0.205972,0.425234,0.42695
exp309,rbm,,,,-37.3735,-122.444,-122.847,0.134296,0.422565,0.423756
exp261,rbm,-86.657525662245462,-131.4187771931754,-132.00748916011264,-28.7925,-117.923,-118.832,0.0777516,0.411245,0.413374
exp75,rbm,,,,-85.0559,-109.516,-109.962,0.307544,0.402828,0.403936
exp98,rbm,-70.516917773288355,-131.2342778725689,-129.40138950105609,-16.5111,-115.351,-112.737,0.0543819,0.419058,0.410714
exp320,rbm,,,,-15.3833,-120.255,-118.029,0.0760803,0.367935,0.360347
exp168,dbm,-191.18624864413943,-194.0110927976333,-195.02360552640465,-139.724,-141.346,-141.938,0.530842,0.536704,0.53934
exp270,dbm,-107.72100689014019,-175.49148546444962,-176.43375034839983,-59.3946,-362.05,-365.552,0.10132,0.426546,0.429661
exp177,rbm,-203.00906443282872,-209.8715327096063,-210.73236347141028,-130.042,-137.935,-138.081,0.469473,0.49045,0.491328
exp266,dbm,-186.89540491948844,-280.56862806178219,-276.16350195453163,-37.8803,-115.578,-113.563,0.151037,0.362278,0.356038
exp267,dbm,-263.85806438252575,-312.58730981902056,-313.97569804398313,-78.8543,-124.144,-124.626,0.268986,0.382208,0.384326
exp318,rbm,-82.89238409563734,-130.17703753426952,-130.71996870132159,-30.086,-114.015,-114.802,0.0917928,0.396293,0.397543
exp426,dbm,-138.79341681122719,-231.08555037031965,-232.25286148116902,-27.9039,-318.336,-322.307,0.0589809,0.419461,0.422808
exp162,dbm,,,,-70.0811,-336.621,-338.296,0.168556,0.54218,0.545537
exp218,dbm,,,,-90.8472,-106.234,-104.872,0.380987,0.437192,0.431528
exp272,rbm,-88.706691966820813,-120.45255133141183,-119.14770172230487,-57.5214,-108.59,-106.961,0.264296,0.431887,0.424977
exp261,dbm,-106.7448758789709,-166.96958594423313,-167.85952571700921,-71.0053,-324.794,-327.276,0.130616,0.420477,0.422205
exp158,rbm,-76.395307337107056,-167.93551588596722,-165.54085332042052,-11.4745,-119.75,-117.629,0.0544947,0.366595,0.358766
exp125,dbm,-102.28373285123439,-199.59449420521685,-196.48464027164869,-3.25769,-251.787,-246.377,0.0102901,0.458396,0.44991
exp59,rbm,-173.09346851466995,-179.68399381939773,-178.63789489644154,-113.637,-121.051,-119.39,0.486851,0.510873,0.501047
exp245,rbm,-85.889714862923256,-118.25494157868857,-117.07524511357917,-56.7003,-108.158,-106.948,0.259417,0.429938,0.423923
exp228,rbm,-113.16901961442926,-125.69518183476504,-126.0578016769602,-89.2474,-111.142,-111.608,0.319788,0.408256,0.408773
exp377,rbm,,,,-59.1203,-97.6235,-95.9468,0.248545,0.402712,0.394262
exp66,dbm,-114.83108127788057,-124.86080691876145,-125.41552982137887,-102.682,-122.374,-122.864,0.363259,0.422867,0.424365
exp129,dbm,-127.10695360742488,-215.59593036821298,-217.6871903885451,-42.2018,-312.154,-315.833,0.0972472,0.460972,0.465247
exp200,rbm,,,,-58.4658,-95.524,-93.9654,0.231414,0.392009,0.384565
exp150,dbm,,,,-88.4054,-112.538,-112.969,0.32659,0.398875,0.400421
exp423,dbm,-120.84267464037782,-185.57667986545925,-186.69181498437445,-76.5255,-314.818,-316.735,0.139757,0.413622,0.415529
exp179,rbm,-91.496669232617819,-113.73109453710015,-112.4281167182898,-62.1772,-98.6996,-97.1072,0.254074,0.406812,0.397301
exp293,rbm,-90.008743505215193,-183.96435990121529,-181.14117807464424,-10.4512,-121.873,-119.507,0.0501026,0.362427,0.355255
exp215,dbm,-110.1295002003036,-127.30914655515971,-125.49786141418315,-89.5034,-119.991,-118.068,0.341121,0.42573,0.417669
exp195,dbm,-194.34568802559966,-197.42977732979625,-198.3970644048926,-138.911,-140.639,-141.218,0.526401,0.532388,0.535031
exp29,rbm,-104.22484505832759,-116.17775502983457,-115.0343682397492,-85.3607,-104.116,-102.716,0.351235,0.430507,0.425058
exp396,rbm,-115.00746042529011,-126.87021801692271,-127.23013527113443,-92.1008,-112.428,-112.811,0.333177,0.412702,0.413849
exp195,rbm,-182.38521959298657,-185.59021646407535,-186.61286038668089,-136.273,-139.269,-140.012,0.511256,0.520449,0.522623
exp27,dbm,,,,-121.767,-128.466,-128.781,0.453119,0.475043,0.475069
exp36,rbm,-127.09891640654513,-132.89658522565207,-133.32188112143865,-112.729,-121.824,-122.254,0.414704,0.450644,0.452149
exp186,rbm,-210.21198831490597,-218.7833302914421,-219.48993959055292,-133.598,-143.815,-143.866,0.466275,0.491844,0.492261
exp281,dbm,,,,-8.4693,-227.6,-221.972,0.0268572,0.417205,0.410511
exp168,rbm,-182.87148697958929,-186.01776079846627,-187.06793755791409,-135.389,-138.426,-139.09,0.510845,0.518854,0.522455
exp245,dbm,-93.382464081804756,-126.13343531058467,-124.31277341441887,-59.3232,-113.59,-112.231,0.26196,0.40033,0.395762
exp159,rbm,,,,-42.999,-125.141,-126.322,0.174801,0.378233,0.380116
exp347,dbm,-237.90696412162379,-246.50787961688991,-245.2276157456713,-112.86,-118.167,-116.832,0.487663,0.509628,0.501249
exp293,dbm,-183.30981605480986,-276.52925206561508,-271.99084484560217,-38.1991,-114.599,-112.883,0.152273,0.357705,0.352081
exp210,dbm,,,,-108.593,-125.51,-125.866,0.379825,0.426954,0.428895
exp336,rbm,,,,-95.589,-114.027,-114.519,0.352294,0.421445,0.422569
exp390,dbm,-125.93588930098792,-135.07898693534889,-135.5081129959251,-105.977,-123.73,-124.065,0.373723,0.426408,0.427248
exp288,rbm,-86.711423399498699,-130.84735155948204,-131.3748243531179,-29.7246,-117.751,-118.371,0.0803991,0.412236,0.413753
exp294,rbm,-132.63585636610856,-192.16818481042526,-193.17441311369623,-42.5877,-128.922,-129.991,0.173552,0.378994,0.381251
exp54,rbm,,,,-91.1655,-114.452,-114.994,0.340616,0.423438,0.424935
exp207,rbm,,,,-88.5762,-111.595,-112.011,0.318357,0.4102,0.411249
exp11,rbm,,,,-66.3103,-100.594,-99.129,0.282094,0.412671,0.405811
exp183,dbm,,,,-110.995,-121.686,-122.027,0.402783,0.436679,0.437054
exp231,dbm,-352.20981408904709,-358.33011187418799,-359.4869473611144,-129.966,-133.165,-133.641,0.486415,0.49982,0.501183
exp381,rbm,,,,-113.973,-122.638,-123.078,0.419643,0.453412,0.456489
exp41,dbm,-214.82913755550152,-223.87176489360689,-221.84563340365173,-111.036,-116.998,-115.739,0.475875,0.500426,0.493537
exp240,rbm,-201.47954820401389,-209.78191699591548,-210.48823564376107,-124.587,-134.191,-134.404,0.440075,0.465409,0.466943
exp374,rbm,-150.7017081124269,-168.59601375467741,-167.02461655187301,-94.8401,-116.144,-114.296,0.388129,0.447056,0.440671
exp320,dbm,,,,-44.0466,-111.835,-110.095,0.178602,0.361426,0.355038
exp158,dbm,-160.95487823851727,-251.1256586621048,-247.45462807420768,-39.4141,-112.983,-111.024,0.158689,0.357447,0.35096
exp399,dbm,-125.5299703579301,-135.93617971411868,-136.33812978544279,-105.813,-126.05,-126.518,0.364394,0.420659,0.422617
exp342,dbm,,,,-118.638,-126.438,-126.579,0.438015,0.463358,0.464299
exp426,rbm,-79.704500334425916,-128.55293294562648,-128.93730403111317,-27.6831,-113.461,-113.873,0.0793515,0.391311,0.392447
exp48,dbm,-124.5719800934379,-134.21161582536683,-134.6781791562247,-111.478,-128.408,-128.824,0.385675,0.431557,0.433057
exp300,dbm,,,,-102.015,-126.439,-127.364,0.369385,0.426096,0.427943
exp128,dbm,-171.29993690510787,-276.71264538552134,-273.66295086055311,-1.6356,-178.189,-175.471,0.00428834,0.38259,0.379243
exp24,rbm,-199.48345797261663,-207.40150966014767,-207.86654347402043,-129.007,-138.669,-138.7,0.465481,0.490866,0.491414
exp54,dbm,,,,-126.011,-138.857,-139.147,0.431876,0.466209,0.467561
exp102,rbm,-84.370093842018946,-134.01772446430846,-134.66886663047319,-28.9081,-117.434,-118.392,0.0934421,0.400715,0.403892
exp204,dbm,,,,-132.12,-134.734,-135.373,0.499718,0.509334,0.512087
exp297,dbm,,,,-70.8647,-422.828,-426.058,0.10988,0.463013,0.465616
exp291,rbm,-82.345570190983949,-130.09165503793452,-130.68438926851627,-29.6623,-114.563,-115.451,0.0915994,0.395718,0.398404
exp123,dbm,-234.07445333800536,-266.62817806629766,-267.55659451323891,-90.529,-117.258,-117.875,0.321109,0.398267,0.400425
exp312,dbm,,,,-90.1077,-111.137,-111.429,0.335505,0.398755,0.400315
exp267,rbm,-175.97758030024625,-236.05015610270482,-237.56276561981576,-45.0606,-132.819,-134.018,0.182063,0.384623,0.388731
exp110,dbm,,,,-66.9727,-119.426,-116.763,0.284728,0.412211,0.402366
exp80,dbm,,,,-82.0968,-118.635,-116.527,0.322899,0.429397,0.422586
exp45,dbm,-126.49178893043916,-134.79225076967214,-135.13443606640135,-116.672,-132.529,-132.854,0.401219,0.445063,0.446427
exp339,rbm,,,,-130.56,-138.365,-138.506,0.471056,0.491695,0.492913
exp156,dbm,,,,-41.2705,-299.81,-303.793,0.0950677,0.456235,0.460262
exp143,rbm,,,,-57.547,-109.723,-107.532,0.2638,0.430033,0.421897
exp239,dbm,-259.71082206063488,-272.50591994530782,-271.19943944068223,-105.009,-113.401,-112.143,0.43972,0.478626,0.471224
exp323,rbm,-61.919631514907451,-120.40314033339291,-118.63243370640612,-14.3065,-104.249,-102.343,0.0276013,0.386365,0.378945
exp191,dbm,,,,-90.3499,-106.257,-104.72,0.379332,0.436217,0.429691
exp350,rbm,-95.821167033386814,-118.7208628997119,-117.29780213406116,-65.2737,-102.291,-100.515,0.27887,0.420019,0.410578
exp161,rbm,-58.076224016326478,-116.72651846801307,-114.9266145702411,-13.9951,-104.364,-102.45,0.0272675,0.387286,0.378216
exp266,rbm,-90.410859561856455,-185.44897141277443,-183.08227000768795,-12.1208,-125.517,-122.757,0.0586159,0.370655,0.363683
exp42,rbm,,,,-131.685,-139.47,-139.61,0.471113,0.491671,0.492108
exp237,rbm,-110.35580221157022,-124.38960683801065,-124.76098245892797,-85.9522,-109.705,-110.154,0.311541,0.403053,0.404482
exp72,dbm,-121.23008292601651,-129.82110459167995,-130.2593963675472,-108.172,-126.128,-126.717,0.381522,0.436171,0.438286
exp137,rbm,-88.375126397117185,-119.08139208687138,-117.52557888217055,-60.0884,-109.099,-107.324,0.274866,0.433943,0.425719
exp270,rbm,-88.550166182110843,-135.59916647286741,-136.13692487555272,-26.813,-114.354,-114.813,0.0725129,0.397721,0.397806
exp50,dbm,-225.11869120461768,-235.50324892347464,-233.13779133580385,-109.208,-115.74,-114.413,0.467218,0.496245,0.488499
exp135,rbm,-88.780045041315361,-133.48918347200265,-134.0574775162238,-34.5179,-117.392,-118.066,0.118466,0.407719,0.408849
exp285,dbm,,,,-89.772,-115.851,-116.358,0.322242,0.398444,0.400603
exp200,dbm,,,,-75.5756,-106.779,-104.999,0.310516,0.408977,0.402677
exp212,rbm,-170.1492302995656,-188.27410766868263,-186.70210497929122,-98.5089,-119.995,-118.167,0.399259,0.456528,0.450261
exp9,dbm,-138.23471803074881,-142.38547724712089,-142.74144951351582,-123.878,-129.592,-129.972,0.460262,0.477889,0.479014
exp87,dbm,,,,-119.693,-124.707,-125.047,0.456417,0.471752,0.472991
exp21,rbm,-124.84745226947223,-137.19004451657554,-137.36679365569933,-97.4334,-117.447,-117.71,0.367025,0.434935,0.434058
exp374,dbm,-207.9685450430195,-219.16567655322797,-216.99056097241055,-107.134,-114.455,-113.177,0.455511,0.487949,0.480422
exp188,rbm,-91.039468774410636,-113.40842500341097,-112.36725382789217,-62.0593,-98.9734,-97.5295,0.255679,0.406243,0.40003
exp189,dbm,-134.85559929090488,-139.16149686720064,-139.64425304398549,-119.788,-126.236,-126.634,0.442914,0.464958,0.46711
exp114,dbm,,,,-119.158,-124.118,-124.455,0.456348,0.471464,0.472694
exp105,rbm,-161.232112318394,-219.74114815997689,-221.54372632563491,-52.6667,-138.134,-139.711,0.206948,0.389984,0.392917
exp126,rbm,,,,-29.9473,-119.557,-120.489,0.0847946,0.418867,0.418848
exp285,rbm,,,,-70.7377,-124.7,-125.627,0.271079,0.396499,0.398764
exp180,rbm,,,,-94.3975,-113.928,-114.443,,,
exp152,dbm,-93.25883464263552,-148.21854064307058,-145.56801910520403,-15.2804,-192.761,-187.079,0.0518973,0.404566,0.39645
exp2,rbm,-105.95659002099509,-117.45454647507131,-116.18048503862704,-87.8798,-105.55,-104.072,0.364898,0.440087,0.433229
exp15,rbm,,,,-129.24,-136.843,-137.08,0.473272,0.493367,0.495901
exp185,dbm,-224.15086504975432,-232.72898559671552,-230.92282124927794,-112.146,-117.541,-116.24,0.483298,0.505528,0.497278
exp237,dbm,-120.30429875650361,-131.5706345027379,-132.08815459726623,-103.359,-125.356,-126.033,0.358066,0.420348,0.423139
exp315,dbm,,,,-87.5717,-330.71,-333.836,0.15244,0.423821,0.425615
exp98,dbm,-101.32635462045801,-195.53267488388724,-192.85776561371176,-26.4005,-343.467,-337.145,0.0511216,0.429627,0.423734
